       18 STEPS PANTRY & SPICES — PRODUCT CATALOGUE,,,
Product name,Pack size,Price,Offer/Stock
RICE,,,
Thulasi Thanjavur Mappillai Samba Rice,1 Kg,4.5,
Thulasi Thanjavur Black rice (Karuppu kavuni),1 Kg,8.99,
Thulasi Thanjavur Idly Rice,5 Kg,13.99,
Thulasi Thanjavur Seeraga Samba Rice,5 Kg,29.99,
Thulasi Thanjavur Seeraga Samba Rice,1 Kg,7.25,
Thualsi Manachanallur Ponni Boiled Rice,5 Kg,14.99,
Thualsi Thanjavur Ponni Boiled Rice,5 Kg,15.5,1 Masala packet free
Thulasi Kurnool Sona Masoori Rice,5 Kg,11.5,
Thulasi Matta Rice,5 Kg,11,Out of Stock
Thulasi Everyday Basmati Rice,5 Kg,11.5,
Pattu Premium Basmati Rice,5 Kg,14.99,
India Gate Premium Basmati Rice,5 Kg,22.99,
,,,
MILLETS,,,
Thulasi Finger/Ragi Millet (Kezhvaraghu),500g,2.5,Promotional Price ending 11/9/26
Thulasi Bajra/Pearl Millet (Kambu),1 Kg,5,Promotional Price ending 11/9/26
Thulasi Barnyard Millet (Kuthiraivali),1 Kg,5,Promotional Price ending 11/9/26
Thulasi Little Millet (Saamai),1 Kg,5,Promotional Price ending 11/9/26
Thulasi Kodo Millet (Varaghu),1 Kg,5,Promotional Price ending 11/9/26
Thulasi Proso Millet,1 Kg,5,Promotional Price ending 11/9/26
Thulasi Sorghum Millet,1 Kg,5,Promotional Price ending 11/9/26
,,,
RAVA/FLOUR/DAL,,,
Thulasi Urid dal (White Split),1 Kg,4.95,
Thulasi Black Urid Dal,1 Kg,5.1,
Thulasi Toor dal,1 Kg,4.95,
Thulasi Toor dal,5 Kg,21.95,
Thulasi Moong Dal,1 Kg,4.95,
Chana dal,1 Kg,4.5,
Chickpeas,1 Kg,4.25,
Horse Gram (Kollu),1 Kg,6.5,
Natural Cowpeas (Dark),1 Kg,4.99,
Thulasi Thanjavur Rice Flour,1 Kg,3,
Thulasi Thanjavur Puttu Flour,1 Kg,3.85,
Thulasi Red Rice Puttu Flour Mix,500g,3.5,
Thulasi Roasted Gram (Split),1 Kg,5.5,
Thulasi Ragi /Finger Millet Flour,1 Kg,3.8,
Thulasi Bansi Wheat Rava,1 Kg,4.99,
Thulasi Peanuts,1 Kg,10.99,
Grewal Chakki atta,5 Kg,12,
Thulasi Kozhukattai Flour,1 Kg,5,Get 1 Murukku Flour free
Thulasi Murukku Flour,500g,0,Free with Kozhukattai Flour
,,,
VEGETABLE FRYUMS/PAPADS,,,
Thulasi Sun dried Sun berry (Manathakkali Vathal),100g,2.5,
Thulasi Butter Chilli (Mor Milagaai Vathal),100g,2.5,
Thulasi Sun dried Sesaoning Fryum (Thaalippu vadagam),100g,3.5,
Thulasi Premium papad,300g,3.5,
,,,
SPICES (WHOLE/GRIND),,,
Thulasi Country Turmeric Powder,500g,4.5,
Thulasi Tamarind Seedless,500g,4.99,
888 ASAFOETIDA Powder,100g,4.25,
Country Coriander seeds,500g,4.5,
Thulasi Fenugreek Seeds,200g,2.1,
Thulasi Fennel seeds,500g,5.25,
Thulasi Cumin seeds,500g,5.25,
Thulasi Fenugreek Powder,200g,2.99,
Thulasi Fennel Powder,200g,2.99,
Thulasi Cumin Powder,200g,2.99,
Country Natural Jaggery Balls,500g,3,
Powdered Jaggery,500g,3.25,
Thulasi Guntur Chilli Powder,500g,5.25,
Guntur Long chilli,200g,4.5,
Ramnad Round Chilli,200g,5.5,
Kashmiri Chilli,200g,4.5,
Thulasi Nilgris Green Cardamom,50g,6.1,
Thulasi Nilgris Cloves,50g,3.25,
Thulasi Bay leaves,50g,3.25,
Bansari Sabudana,454g,2.25,
Viya mustard seeds,200g,1.6,
Viya Poppy seeds (white),200g,6.5,
Spark Black pepper (whole),100g,5.25,
Telugu Citron pickle,300g,4.5,
Telugu Cut Mango pickle,300g,3.5,
Telugu Gongura pickle,300g,3.5,
,,,
OIL/GHEE,,,
Thulasi Chekku Peanut Oil,1L,8.5,
Thulasi Chekku Peanut Oil,2L,16.5,
Thulasi Chekku Peanut Oil,5L,39.99,
Thulasi Chekku Sesame Oil,1L,11.5,
Thulasi Chekku Sesame Oil,2L,22.5,
Thulasi Chekku Sesame Oil,5L,54.99,
Thulasi Ghee,1L,14.99,
,,,
MASALA POWDERS,,,
Madurai Muniyandi Vilas Fish Fry Masala,165g,3.5,Buy 1 Get 1 Free
Madurai Muniyandi Vilas Mutton Masala,165g,3.5,Buy 1 Get 1 Free
Madurai Muniyandi Vilas Chicken Masala,165g,3.5,Buy 1 Get 1 Free
Thulasi Madras Sambar Powder,165g,3.5,Buy 1 Get 1 Free
Thulasi Madras Rasam Powder,165g,3.5,Buy 1 Get 1 Free
Thulasi Idly Chilli Powder,165g,3.5,Buy 1 Get 1 Free
Thulasi Garam Masala,165g,3.5,Buy 1 Get 1 Free
Thulasi Coriander Powder,165g,3.5,Buy 1 Get 1 Free
Thulasi Veg Omelette Mix,160g,3.5,Buy 1 Get 1 Free
Tuticorin Parotta Salna Mix,100g,3.5,Buy 1 Get 1 Free
Hyderabadi Dum Biryani Masala,165g,3.5,Buy 1 Get 1 Free
Thulasi Curry Leaf Powder,165g,3.5,Buy 1 Get 1 Free
,,,
VERMICELLI,,,
Thulasi Ragi Vermicelli,180g,3.6,Get 1 Rice Vermicelli Free with this
Thulasi Rice Vermicelli,180g,3.6,
,,,
COFFEE/TEA/DRINKS,,,
Kumbakonam Filter Coffee,500g,12.5,
Instant coffee powder,175g,5.99,
Malabar delightz masala tea,200g,4.75,
888 Nannari Sarbath,750 ml,5,
,,,
SNACKS and SWEETS,,,
Grand Chettinadu Manapparai Kai Murukku,125g,3.99,"Buy any 2, Get 1 Free"
Grand Chettinadu Kara Thattai,125g,3.99,"Buy any 2, Get 1 Free"
Grand Chettinadu Srivilliputhur pepper sev,125g,3.99,"Buy any 2, Get 1 Free"
Grand Chettinadu Dhaniyam Mixture,125g,3.99,"Buy any 2, Get 1 Free"
Jaggery Mysoorpak,150g,5.5,
Mysoorpak,150g,5.5,
Adhirasam,180g,5.5,
Sugar Balls (Thaen mittai),90g,5.5,
Elaneer Halwa,150g,5.5,
Tirunelveli Halwa,150g,5.5,
Kovilpatti Rice Coco bites,150g,3.5,
Kovilpatti Black sesame Ball,150g,3.5,
Palm Jaggery Peanut Candy,150g,4.5,
